date,year,month,day,median_ndvi,landsat
16-04-2005,2005,4,16,0.104519814252853,Landsat4/5 (TM)
"02-05-2005",2005,5,2,0.122445121407509,Landsat4/5 (TM)
"03-06-2005",2005,6,3,0.108668386936188,Landsat4/5 (TM)
19-06-2005,2005,6,19,0.117750570178032,Landsat4/5 (TM)
21-07-2005,2005,7,21,0.093683049082756,Landsat4/5 (TM)
"07-09-2005",2005,9,7,0.393332600593567,Landsat4/5 (TM)
"09-10-2005",2005,10,9,0.307881206274033,Landsat4/5 (TM)
25-10-2005,2005,10,25,0.281239733099937,Landsat4/5 (TM)
10-11-2005,2005,11,10,0.246794074773788,Landsat4/5 (TM)
14-02-2006,2006,2,14,0.122908610850573,Landsat4/5 (TM)
"02-03-2006",2006,3,2,0.121949709951878,Landsat4/5 (TM)
"08-04-2005",2005,4,8,0.121488116681576,Landsat7 (ETM+)
10-05-2005,2005,5,10,0.113755688071251,Landsat7 (ETM+)
26-05-2005,2005,5,26,0.106812559068203,Landsat7 (ETM+)
11-06-2005,2005,6,11,0.0890078619122505,Landsat7 (ETM+)
30-08-2005,2005,8,30,0.369232356548309,Landsat7 (ETM+)
"02-11-2005",2005,11,2,0.262563824653625,Landsat7 (ETM+)
18-11-2005,2005,11,18,0.225971773266792,Landsat7 (ETM+)
20-12-2005,2005,12,20,0.162068963050842,Landsat7 (ETM+)
"05-01-2006",2006,1,5,0.142822407186031,Landsat7 (ETM+)
21-01-2006,2006,1,21,0.12805400043726,Landsat7 (ETM+)
"06-02-2006",2006,2,6,0.121943268924952,Landsat7 (ETM+)
22-02-2006,2006,2,22,0.116656213998795,Landsat7 (ETM+)
26-03-2006,2006,3,26,0.128685727715492,Landsat7 (ETM+)
11-04-2006,2006,4,11,0.119967132806778,Landsat7 (ETM+)
27-04-2006,2006,4,27,0.144261665642262,Landsat7 (ETM+)
